개체번호,잎 수(장),지상부 길이(mm),지하부길이(mm),생중량(g),,,,
1,10,80,86,2.11,,,,
2,26,131,124,14.93,,,,
3,13,103,243,4.91,,,,
4,11,91,166,2.29,,,,
5,12,116,62,6.69,,,,
6,13,87,86,2.17,,,,
7,9,82,71,1.51,,,,
8,8,87,113,2.31,,,,
9,5,51,87,0.8,,,,
10,5,68,59,0.8,,,,
11,8,110,80,1.9,,,,
12,6,105,84,1.6,,,,
13,5,62,100,0.3,,,,
14,19,115,165,10.9,,,,
15,12,75,180,2.2,,,,
16,16,125,160,5.8,,,,
17,15,110,160,3.4,,,,
18,9,55,95,0.7,,,,
19,18,120,100,5.7,,,,
20,14,100,120,4,,,,
21,8,70,30,0.6,,,,
22,7,60,30,0.5,,,,
23,7,80,140,0.7,,,,
24,10,90,100,0.3,,,,
25,9,90,80,0.4,,,,
26,19,110,130,8.34,,,,
27,14,80,106,3.39,,,,
28,7,62,30,0.98,,,,
29,12,105,123,2.12,,,,
30,21,130,208,13.12,,,,
31,9,107,104,3.02,,,,
32,11,105,126,2.09,,,,
33,11,100,142,2.58,,,,
34,18,126,134,7.62,,,,
35,9,95,117,1.96,,,,
36,13,100,35,2.4,,,,
37,12,103,76,3.8,,,,
38,11,140,100,6.3,,,,
39,15,102,146,3.5,,,,
40,19,120,70,10.9,,,,
41,11,85,70,1.6,,,,
42,3,46,24,0.3,,,,
43,11,95,94,2.9,,,,
44,9,47,71,0.8,,,,
45,22,105,140,4.9,,,,
46,10,151,192,17.2,,,,
47,12,105,100,3,,,,
48,7,87,75,2.2,,,,
50,13,80,185,3,,,,
51,11,70,192,3,,,,
52,14,81,144,3.7,,,,
53,14,96,198,4.3,,,,
54,7,85,98,1.5,,,,
55,5,71,102,0.6,,,,
56,5,76,91,1,,,,
57,7,75,104,1.4,,,,
58,12,69,120,1.8,,,,
59,12,81,105,2.1,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
