time,temperature,humidity,ph,ec
2025-05-30,24.2,31.4,7.6,1
2025-05-31,24.2,38.8,7.6,1
2025-06-02,24.5,39.8,7.6,1
2025-06-04,24.6,37.8,7.6,1
2025-06-05,24.9,38.2,7.6,1
2025-06-07,22.1,48.3,7.6,1
2025-06-09,25.1,61.6,7.6,1
2025-06-10,21.6,55.2,7.6,1
2025-06-11,22,48.9,7.6,1
2025-06-12,22.3,48.4,7.6,1
2025-06-16,21.9,53.8,7.6,1
2025-06-17,22,52,7.6,1
2025-06-18,21.8,49.9,7.6,1
2025-06-19,22,53.1,6.9,3.2
2025-06-20,21.7,52.9,7.1,2.2
2025-06-23,21.9,53.1,5.7,8.8
2025-06-24,22.5,52.7,7,1.4
2025-06-25,22.6,56.7,7.3,0.8
2025-06-26,25.3,63.6,7.4,1
2025-06-27,22.1,60.2,7.3,1
2025-06-30,22,60.2,7.5,1
2025-07-01,23.2,59.1,7.3,0
2025-07-02,23.1,57.2,6.8,0.9
2025-07-03,24.6,52.2,6.6,1
2025-07-04,23.6,55,6.7,1
2025-07-07,23.8,57.5,6.5,1
2025-07-08,24.1,56.1,6.6,1
2025-07-09,23.8,56.2,6.6,1
2025-07-10,24,57,6.8,0.8
2025-07-11,23.5,59,6.5,0.9
2025-07-12,23.2,59.4,6.7,1
2025-07-14,21.3,66.8,7,1
2025-07-15,23,63.5,7.2,1
2025-07-16,23.9,59.8,7.4,1
2025-07-17,23.6,57.9,7.4,1
