개체번호,잎 수(장),지상부 길이(mm),지하부길이(mm),생중량(g)
1,32 ,139.00 ,291.00 ,35.44 
2,35 ,90.00 ,70.00 ,11.60 
3,23 ,70.00 ,85.00 ,7.35 
4,30 ,94.00 ,112.00 ,9.42 
5,20 ,65.00 ,131.00 ,4.05 
6,9 ,70.00 ,45.00 ,2.15 
7,12 ,53.00 ,84.00 ,2.98 
8,17 ,97.00 ,99.00 ,12.22 
9,21 ,80.00 ,107.00 ,5.13 
10,12 ,70.00 ,33.00 ,1.22 
11,30 ,70.00 ,25.00 ,6.90 
12,29 ,92.00 ,131.00 ,13.72 
13,18 ,70.00 ,46.00 ,2.42 
14,9 ,51.00 ,22.00 ,1.35 
15,8 ,44.00 ,29.00 ,1.51 
16,8 ,58.00 ,69.00 ,1.67 
17,10 ,98.00 ,62.00 ,6.28 
18,9 ,80.00 ,95.00 ,3.33 
19,15 ,78.00 ,70.00 ,3.18 
20,6 ,78.00 ,110.00 ,1.17 
21,8 ,90.00 ,95.00 ,2.98 
22,19 ,50.00 ,183.00 ,1.90 
23,6 ,59.00 ,77.00 ,1.16 
24,6 ,40.00 ,20.00 ,1.03 
25,5 ,45.00 ,31.00 ,0.49 
26,12 ,37.00 ,36.00 ,0.84 
27,5 ,47.00 ,45.00 ,0.44 
28,13 ,65.00 ,21.00 ,4.24 
29,10 ,35.00 ,51.00 ,3.17 
30,16 ,87.00 ,80.00 ,4.95 
31,6 ,60.00 ,161.00 ,2.73 
32,12 ,60.00 ,73.00 ,3.03 
33,7 ,61.00 ,26.00 ,1.90 
34,9 ,65.00 ,39.00 ,1.60 
35,13 ,43.00 ,122.00 ,1.33 
36,7 ,77.00 ,30.00 ,1.53 
37,8 ,54.00 ,42.00 ,1.16 
38,6 ,52.00 ,85.00 ,1.26 
39,10 ,42.00 ,25.00 ,0.94 
40,8 ,45.00 ,16.00 ,0.83 
41,8 ,55.00 ,46.00 ,0.79 
42,9 ,73.00 ,111.00 ,1.72 
43,8 ,38.00 ,31.00 ,0.73 
44,12 ,90.00 ,88.00 ,2.90 
45,9 ,40.00 ,25.00 ,0.65 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
